system_id,poly_index,polynomial
1,1,x0**9*x1**7*x2**3 + 10689 mod 32003*x0**3*x1**2 + 12547 mod 32003*x1**2*x2**2
1,2,x1**7*x2**6 + 15388 mod 32003*x1**5 + 22355 mod 32003*x1**3*x2**2
1,3,x0**2*x1**6*x2**2 + 15800 mod 32003*x0**3*x1**2 + 4665 mod 32003*x0**4
1,4,x0*x1**8*x2**10 + 3264 mod 32003*x0*x1**3*x2**12 + 27962 mod 32003*x0**7*x1**7*x2 + 18531 mod 32003*x1**2*x2**3
1,5,x1**4*x2 + 30687 mod 32003*x1**2
1,6,x0**3*x1**5*x2**2 + 26312 mod 32003*x0
1,7,x0**4*x1**6*x2**2 + 23930 mod 32003*x1
1,8,x0**5*x1**5*x2**7 + 2822 mod 32003*x0**4*x1**4*x2**8 + 20286 mod 32003*x0**3*x1**6
1,9,x1**5*x2**8 + 12814 mod 32003*x0**3*x1*x2**5
1,10,x0**9*x1**3 + 23698 mod 32003*x0**2*x1**4*x2**4
2,1,x0**12*x1**3*x2 + 877 mod 32003*x0**7
2,2,x1**8*x2**9 + 23071 mod 32003*x1**3*x2**4
2,3,x0**11*x1*x2**6 + 6368 mod 32003*x0**6*x1*x2**2 + 3429 mod 32003*x0**4*x2 + 31756 mod 32003*x1
2,4,x0**10*x2**9 + 6101 mod 32003*x0**9*x1**3*x2**2 + 28911 mod 32003*x0*x1**7
2,5,x0**4*x2**4 + 16280 mod 32003*x0**3*x1*x2
2,6,x0**5*x1**10*x2**5 + 12799 mod 32003*x0**7*x1**4*x2**4
2,7,x0**5*x1**6 + 16635 mod 32003*x0*x1**2*x2 + 8793 mod 32003*x0*x1*x2
2,8,x0**13*x1*x2 + 2863 mod 32003*x2**5
2,9,x1**2*x2**4 + 27679 mod 32003*x2**2
2,10,x1**16 + 2455 mod 32003*x0**9*x2
3,1,x0*x1**4*x2**2 + 23778 mod 32003*x0*x1**2*x2**3
3,2,x0**12*x1**7 + 2182 mod 32003*x1*x2**4
3,3,x0**12*x1*x2**3 + 24908 mod 32003*x0**2*x1
3,4,x0**5*x2**9 + 14658 mod 32003*x0**6*x1**2*x2
3,5,x0*x1**11*x2**2 + 19919 mod 32003*x1**4*x2**9 + 15305 mod 32003*x0**7*x1*x2**4
3,6,x0**3*x1*x2**2 + 7424 mod 32003*x1*x2
3,7,x0*x1**4*x2**11 + 18281 mod 32003*x1**4*x2**5
3,8,x0**2*x2 + 12614 mod 32003*x0**2
3,9,x0**3*x1**2*x2**4 + 28252 mod 32003*x0**4*x1**3
3,10,x0**7*x1*x2**7 + 25644 mod 32003*x0**4*x1**5*x2 + 13430 mod 32003*x0*x1**5*x2**2 + 30478 mod 32003*x1**2*x2
4,1,x0**12*x1**7*x2 + 1474 mod 32003*x0**6*x1**12*x2**2 + 29875 mod 32003*x2
4,2,x0**6*x1**2*x2**12 + 30554 mod 32003*x1**5*x2**4
4,3,x0**2*x1**3*x2**12 + 20018 mod 32003*x1**2*x2**14 + 31612 mod 32003*x0*x2**2
4,4,x0**7*x1**2 + 6915 mod 32003*x0*x1*x2**2
4,5,x0*x1**7*x2**3 + 14391 mod 32003*x0*x2**9
4,6,x0**3*x1**8*x2**7 + 8697 mod 32003*x0**10*x1**4*x2**3
4,7,x0**2*x2**3 + 11817 mod 32003*x0**3
4,8,x0**14*x1**4*x2 + 16026 mod 32003*x0**4*x1**2 + 27386 mod 32003*x1*x2 + 466 mod 32003*x2**2
4,9,x0**6*x1*x2**12 + 2019 mod 32003*x0
4,10,x0**3*x1**8*x2**7 + 24994 mod 32003*x0**5*x2
6,1,x0**7*x1**7*x2**4 + 16261 mod 32003*x0**2*x1**5*x2**7 + 9735 mod 32003*x0**4*x1**4*x2
6,2,x0**3*x1**6*x2**3 + 9977 mod 32003*x0**4*x1*x2**4
6,3,x0**10*x1**4*x2**2 + 13198 mod 32003*x0**8*x1**7
6,4,x1**3*x2**4 + 17321 mod 32003*x2
6,5,x0**6*x1**2*x2**12 + 29821 mod 32003*x0**8*x1**3 + 6042 mod 32003*x1*x2
6,6,x0**9*x1**4*x2 + 26219 mod 32003*x0**2*x1**9 + 25155 mod 32003*x1**4*x2**7 + 15276 mod 32003*x1**4
6,7,x0**2*x2**18 + 1995 mod 32003*x0**2*x2**2 + 7101 mod 32003*x0**2
6,8,x0*x1**3*x2**6 + 23436 mod 32003*x0**5*x2**4
6,9,x0**5*x1**7*x2**5 + 29881 mod 32003*x1*x2**4
6,10,x0**6*x2 + 25717 mod 32003*x0*x2**5
7,1,x0**7*x1**5*x2**3 + 15227 mod 32003*x0*x1**10*x2
7,2,x0**7*x1**8 + 31593 mod 32003*x1**6*x2**4
7,3,x0**14*x2**5 + 11696 mod 32003*x0**2*x1*x2**6 + 26173 mod 32003*x2**3 + 24176 mod 32003*x0*x2
7,4,x0**9*x1*x2**10 + 1410 mod 32003*x0**3*x1**2*x2**3
7,5,x0*x1**3*x2**12 + 4784 mod 32003*x0**6*x1*x2**7
7,6,x0*x1**8*x2**11 + 2426 mod 32003*x0*x1**8*x2**3
7,7,x1**7*x2**8 + 30788 mod 32003*x0**8*x1**2*x2 + 23556 mod 32003*x0**3*x2**4 + 9802 mod 32003*x1
7,8,x0**8*x2**11 + 9780 mod 32003*x0**5*x2**8
7,9,x1**6*x2**3 + 27067 mod 32003*x0**3*x1**4
7,10,x1**12*x2**3 + 6053 mod 32003*x0*x1**10 + 20900 mod 32003*x0
8,1,x0*x1**3*x2**14 + 24452 mod 32003*x0**3*x1*x2**10 + 11900 mod 32003*x0**12 + 20815 mod 32003*x1**4*x2**2
8,2,x0**2*x1**13*x2**5 + 19777 mod 32003*x0**4*x1*x2**12 + 22955 mod 32003*x2**2
8,3,x0**7*x1**2*x2**2 + 14867 mod 32003*x0*x1**2*x2**5
8,4,x0**11*x1**2*x2**2 + 20649 mod 32003*x1**6*x2**4 + 6294 mod 32003*x0**4*x1**3*x2**2
8,5,x0**9*x1**4*x2**4 + 9337 mod 32003*x0**2*x1**5*x2**4 + 19978 mod 32003*x0**2*x1**2*x2**4
8,6,x0**15*x2**5 + 6203 mod 32003*x0**3*x1**4*x2**13 + 14195 mod 32003*x0**6*x1**12*x2 + 10708 mod 32003*x0**5*x1**3*x2**4
8,7,x0**14*x1**4 + 1416 mod 32003*x0*x1**4*x2**12 + 18885 mod 32003*x2**5
8,8,x1*x2**8 + 3841 mod 32003*x1**3
8,9,x0*x1**7*x2**12 + 31332 mod 32003*x1**18*x2 + 23322 mod 32003*x0**3*x2**5
8,10,x0**4*x1**2*x2**3 + 27473 mod 32003*x2**5
9,1,x0**5*x1**8*x2**2 + 21379 mod 32003*x0**2*x1*x2**6
9,2,x0**5*x1**8 + 10381 mod 32003*x0**2*x1**10*x2 + 4446 mod 32003*x0**4*x1**3*x2
9,3,x0*x1**5*x2**14 + 22862 mod 32003*x0**3*x1**9*x2 + 9635 mod 32003*x0*x1**3*x2**5
9,4,x0**9*x1**3*x2**3 + 25645 mod 32003*x1**4*x2
9,5,x1**8*x2**8 + 2446 mod 32003*x0**4*x1**2
9,6,x0**4*x1**4*x2**9 + 7550 mod 32003*x0**4*x1**2*x2**7
9,7,x0**3*x1**12 + 3845 mod 32003*x0**3*x1**3*x2**2 + 14605 mod 32003*x0
9,8,x0**2*x1*x2**14 + 26617 mod 32003*x0*x1*x2**11 + 17457 mod 32003*x0**2*x1**6
9,9,x0**5*x1*x2 + 14576 mod 32003*x0*x1 + 16934 mod 32003*x1*x2
9,10,x0**2*x1**2 + 9430 mod 32003*x2
11,1,x0**12*x2**2 + 24891 mod 32003*x0*x1**3*x2**3
11,2,x0**2*x1 + 16247 mod 32003*x1
11,3,x0**2*x2**4 + 31488 mod 32003*x1
11,4,x1**17*x2**2 + 26118 mod 32003*x1**3*x2**12 + 14591 mod 32003*x1**4*x2 + 20570 mod 32003*x0*x2**2
11,5,x0**3*x2**8 + 30801 mod 32003*x0*x1**6*x2
